"","ResortName","Continent","Country","Altitude","Easy","Intermediate","Difficult","Adult","Child","Youth","Currency","Ski_resort_size","Variety","Liftsandcable.cars","Snowreliability","Slopepreparation","Environmental","Friendliness","Access_Park","Food","Accommodations","Families","Beginners","AdvancedSkiers","Snowparks","Cross_skiing"
"2","4-vallees-verbierla-tzoumaznendazveysonnazthyon","Europe","Switzerland",3330,107,202,103,75.7162759706827,38.3629131584792,64.6112221616492,"Swiss Franc",5,5,4,5,5,4,3,4,4,5,4,3,5,5,3
"8","aare","Europe","Sweden",1274,45,38,8,51.9004667358747,41.297145574782,0,"Swedish krona",4,4,3,5,4,4,4,4,4,4,5,4,4,5,3
"28","adelbodenlenk-chuenisbaerglisillerenhahnenmoosmetsch","Europe","Switzerland",2200,46,34,6,64.6112221616492,35.3342621196519,53.5061683526158,"Swiss Franc",4,5,5,4,5,4,5,3,5,4,4,5,5,4,4
"32","aela-maloja","Europe","Switzerland",2159,0.5,1.5,1,35.3342621196519,22.2101076180669,30.2865103882731,"Swiss Franc",1,3,1,3,2,3,3,2,2,1,3,2,3,1,5
"34","afriski-mountain-resort","Africa","Lesotho",3222,0.2,0.6,1,32.7931762792818,27.6920155247269,0,"South African rand",1,1,1,2,4,3,3,1,2,3,4,4,1,3,1
"70","alagna-valsesiagressoney-la-trinitechampolucfrachey-monterosa-ski","Europe","Italy",3275,23,94,15,50.1982246172094,35.0220171747972,44.3612217547431,"Euro",4,5,4,5,5,4,4,3,4,3,4,3,5,3,3
"77","aletsch-arena-riederalpbettmeralpfiesch-eggishorn","Europe","Switzerland",2869,42,50,12,60.5730207765461,30.2865103882731,51.4870676600642,"Swiss Franc",4,5,4,5,5,5,4,3,4,5,5,5,4,4,2
"78","alfaierlift-gschnitz","Europe","Austria",1350,0.3,0.2,0,0,0,0,"-",1,1,1,2,2,4,3,4,2,2,3,2,1,1,5
"88","alpe-cermis-cavalese","Europe","Italy",2250,10,9,5,56.0352274796756,38.5242188922769,0,"Euro",3,4,4,5,5,4,4,4,4,3,4,4,3,1,4
"92","alpe-dhuez","Europe","France",3330,70,130,50,61.2885300558951,50.1982246172094,54.8678269071823,"Euro",5,5,3,5,4,3,4,3,4,5,5,5,5,4,3
